station_uuid,latitude,longitude
00061503-0554-4444-8888-acdc00000554,53.38901138,10.41257954
00061504-0552-4444-8888-acdc00000552,53.18857574,10.73553181
00061505-0553-4444-8888-acdc00000553,53.28582001,10.50421143
00061522-0031-4444-8888-acdc00000031,51.24742508,7.594419956
00061523-0041-4444-8888-acdc00000041,51.23820114,7.609669209
00061525-50d3-3bb7-eaef-e90f00061525,51.29241943,7.283360004
00061529-0001-4444-8888-acdc00000001,47.73706055,9.471489906
00061543-0515-4444-8888-acdc00000515,52.72782898,11.86056995
00061561-0011-4444-8888-acdc00000011,49.45539856,12.18480968
00061570-0001-4444-8888-acdc00000001,52.21076965,9.965019226
00061585-0008-4444-8888-acdcffffffff,50.27685928,11.74049282
00061593-0001-4444-8888-acdc00000001,50.75682449,8.539645195
00061649-b2da-4444-8888-acdc00000001,47.77561951,9.199588776
00061693-8a4c-4444-8888-acdc00000001,47.64109421,7.740325928
00061699-0069-4444-8888-acdc00000069,49.91716003,9.148109436
00061748-9c69-4444-8888-acdc00000004,53.012,7.5309
00061769-349c-4444-8888-acdc00000012,49.71743011,11.91329193
00061796-1231-4444-8888-acdc00001231,50.49489212,8.471586227
00061805-0008-4444-8888-acdc00000008,53.28953934,8.164753914
00061806-400d-4444-8888-acdc00000009,53.33854675,8.183182716
00061856-8552-4444-8888-acdc00000002,49.58017731,10.64042568
00061900-a603-4444-8888-acdc00000001,48.72507095,10.79101849
00061903-357e-4444-8888-acdc00000001,54.305269,9.318611
00061969-105e-4444-8888-acdc00000001,53.51486969,7.371778965
00062000-0001-4444-8888-acdc00000001,49.15356827,9.279158592
00062105-94f4-4444-8888-acdc00000001,48.63020706,13.64142513
00062322-0003-4444-8888-acdc00000003,49.63206863,11.5459404
00062326-efe3-4444-8888-acdc00000001,48.83570099,8.839572906
00062355-0531-4444-8888-acdc00000531,52.96405029,11.1662817
00062356-0545-4444-8888-acdc00000545,52.69760132,11.08100128
00062357-0530-4444-8888-acdc00000530,52.9679184,11.14164543
00062379-5286-4444-8888-acdc00062379,50.72999954,9.80700016
00062381-330f-4444-8888-acdc00000001,51.28572083,7.804029942
00062409-533e-87f9-8a9f-26a300062409,49.24816132,11.12265968
00062418-50d3-3bb7-eaef-e90f00062418,48.61991882,10.56962013
00062419-533e-75a1-87f9-8a9f00062419,48.60775375,10.5586853
00062456-8cc1-4444-8888-acdc00000017,49.26791382,12.30132961
00062462-a0eb-4444-8888-acdc00000001,53.08309174,7.411716938
00062482-e7a2-4444-8888-acdc00000005,52.61742783,6.85584116
00062521-944b-4444-8888-acdc00000019,49.5908432,12.14665222
00062535-8ce6-4444-8888-acdc00000002,52.32143784,7.343225002
00062573-533e-75a1-87f9-8a9f00062573,48.84791946,12.98351097
00062601-eb0d-4444-8888-acdc00062601,47.82159805,10.00723362
00062619-9d3b-4444-8888-acdc00000003,52.4464798,7.060329914
00062652-734d-4444-8888-acdc00000001,49.08336258,9.318714142
00062662-533e-e667-5a18-7f9800062662,49.65589523,12.04557037
00062671-d373-4444-8888-acdc00000001,48.39994049,8.018039703
00062673-4de7-4444-8888-acdc00000020,48.46718979,8.476959229
00062729-7d45-4444-8888-acdc00000001,48.84025574,10.84237289
00062792-533e-e667-5a18-7f9800062792,47.99214172,9.08654213
00062812-0541-4444-8888-acdc00000541,52.92279053,11.12567043
00062899-533e-e667-5a18-7f9800062899,48.38287354,8.811999321
00062946-c91f-4444-8888-acdc00000004,52.21909714,7.186308861
0006d4f6-a88d-473e-a8b1-b1f49b35eec0,50.47119,7.855065
00094444-a5ba-4444-8888-acdc00000944,51.20410156,13.73589993
00099955-0003-4444-8888-acdc00000003,52.08761978,8.741829872
00099960-0004-4444-8888-acdc00000004,52.08052826,8.720459938
00099999-1332-4444-8888-acdc00001332,47.89413834,10.26350212
00099999-1e25-4444-8888-acdc00061844,51.57577133,9.30161953
00099999-8026-4444-8888-acdc00008026,51.94917297,7.987864017
000a5e14-552f-42fb-b3b0-2f005ccca133,51.83787,10.794663
000c1937-1d9d-4cf5-8b32-b4960a037c2f,50.44535,6.81179
000e5864-eb6e-47f7-825f-9a655d83b0d0,50.324879,7.605549
0014c75b-2b35-4fad-b162-8b3fb9125cd2,52.13194,11.665182
0018c07b-6aa8-475d-974b-f4e373621b2e,52.140197,10.335751
00196cba-89f0-4577-1e2c-8d450806aab2,53.497848,7.100485
001975cc-d534-4819-ab35-8e88848c3096,52.186096,7.861557
001e3111-58c3-4e99-b6d5-a8f244b579f3,53.1517,8.23734
001e3b78-9417-4e4d-8e88-298c10b32057,52.171223,13.471062
00299b2b-4fcf-454a-9dfd-871a57bfe4ff,53.3955,8.01392
0029cc03-fa03-462b-9bb3-418ebf591e54,50.74068832,11.88626862
0031bd2e-b10c-4981-b65d-a1b56e2583dc,53.464463,7.716924
0032115e-58b1-4282-8f67-a9fec29c7d1d,47.979744,10.172292
0035a1fa-0867-4959-9e77-06d8ed95ef46,52.4298,9.31509
00412dd6-de3f-4d2d-a3dc-13e8742dd75f,47.630856,9.530031
0047b529-113c-47bd-bd1a-84cbd68712aa,50.574906,8.712315
004f71f5-36e7-43bf-abc9-9a0b94df80d6,50.28504,10.09529
004fd67c-09d8-4d15-bc61-865e62fc19de,49.888635,10.555377
0050569a-c82b-1eee-97bf-208c69f4403c,49.86162,8.76533
0050569a-edd1-1eed-8e96-631b1b585775,50.7079688,12.5006556
0050569a-edd1-1eed-9be0-d27ed33e9775,50.242804,8.868831
005056a9-4231-1edc-96b2-8121025341f5,49.397161,11.986381
005056a9-4231-1edc-96b4-3199d13046b0,48.360248,11.823794
005056a9-4231-1edc-bb91-146b06e7c530,49.74754,11.513345
005056a9-4231-1edc-bb91-1e8c4d682563,50.002442,8.109398
005056a9-4231-1edc-bb91-2847efed0567,47.907334,11.717317
005056a9-4231-1edc-bb91-31fbebcec571,51.636367,6.745025
005056a9-4231-1edc-bb91-3ba5f736c5a1,48.058076,10.847578
005056a9-4231-1edc-bb91-59ce32f4c5d9,50.266369,7.512642
005056a9-4231-1edc-bb91-6944a880e60c,50.267589,7.509838
005056a9-4231-1edc-bb92-15e6f00dc7ae,50.357617,8.694157
005056a9-4231-1edc-bcbf-cc2024ba0724,48.617572,10.024629
005056a9-4231-1edd-999c-1d60105ac32b,48.810608,8.184395
005056a9-4231-1edd-999c-3349149e4363,48.983652,10.195667
