"id","latitude","longitude"
"node/34005320",48.8746727,12.4431143
"node/34007289",49.4437954,10.9589876
"node/34022460",49.4931776,8.3817422
"node/34022470",49.535617,8.3497405
"node/34666236",48.1092137,9.9398766
"node/34666296",48.1333979,9.8774444
"node/34666319",48.152631,9.8532837
"node/34706850",52.2672784,10.6855896
"node/34706876",52.257107,10.8126962
"node/34706932",52.2220333,11.0105391
"node/34916806",49.9733473,8.8289584
"node/34917586",50.1026882,8.7843612
"node/35503706",48.2334965,9.8784455
"node/35503707",48.2304112,9.848247
"node/35707385",48.7624959,12.2378548
"node/35707389",48.8223675,12.3922102
"node/35707428",48.7299318,12.1903603
"node/35879657",50.7940258,7.2026578
"node/35973333",51.5131599,6.3194152
"node/35989258",49.9248254,8.4858477
"node/36050314",51.6561632,6.6271721
"node/36308672",50.2310258,8.8800504
"node/36492131",50.8714326,6.094601
"node/36613132",49.203252,9.5026549
"node/36613152",49.1437767,9.4027322
"node/36674128",50.1235546,8.9583284
"node/36677249",47.7974906,11.0602721
"node/36677250",47.7887535,10.9995621
"node/36677251",47.801961,10.9264598
"node/36677252",47.7929851,10.9373557
"node/36681682",52.2915287,12.9845109
"node/36747560",51.8579126,13.7138576
"node/36747565",51.8519254,13.6090415
"node/36802367",49.6061935,7.1728826
"node/36802576",49.7856367,7.464171
"node/38577886",52.2516275,13.9208681
"node/38588854",52.2895354,13.7864906
"node/38883274",51.3510448,12.9837569
"node/38903191",49.1915526,13.051509
"node/40180761",47.9643064,12.5681931
"node/40180766",47.9650257,12.5898403
"node/40202885",47.9335738,12.9224592
"node/40202893",48.2628288,13.0229254
"node/40202914",48.2611673,12.6909176
"node/40213242",48.4739352,12.2482763
"node/40213249",48.4471811,12.347448
"node/40213257",48.3957267,12.4459854
"node/40213263",48.3612549,12.5030124
"node/40213268",48.2980739,12.5511771
"node/40612316",53.4727572,9.1953982
"node/41345804",48.7751797,8.9326327
"node/41798694",50.2323354,7.1296924
"node/41798699",50.3281242,7.2138118
"node/41798703",50.3295862,7.2390722
"node/41819100",50.1146737,8.4229786
